Sebastian County,Arkansas,51384,6.2,5.3,12.1,14,13.7,18.9,11.5,11.7,3.2,3.4,48839,65576,47.1,AR
Washington County,Arkansas,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798,72353,27,AR
White County,Arkansas,28621,6.6,6.3,16.8,12,12.2,19.3,9.9,11.4,3.2,2.2,43399,61441,34.6,AR
Alameda County,California,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322,141427,30.7,CA
Butte County,California,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563,91685,41,CA
Contra Costa County,California,399792,3.3,2.8,4,4.8,6.9,12.2,12.5,18.9,12.2,22.4,107135,146387,35.4,CA
El Dorado County,California,74216,4.4,4.6,5.7,6.1,8.8,13.6,12,20,10.4,14.3,87059,118681,41.4,CA
Fresno County,California,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518,76573,43,CA
Humboldt County,California,55692,7.6,11.7,7.1,8.2,14.2,15.3,11.5,12.7,5.5,6.2,51662,76880,38,CA
Imperial County,California,48182,6.8,10.4,11.5,9,14.6,14.6,12.9,12.4,4.7,3,48472,64050,43.3,CA
Kern County,California,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,29.3,CA
Kings County,California,44761,4.6,2.5,11.3,11.1,13.5,22.1,12.7,12,6.5,3.6,58453,72471,49.9,CA
Lake County,California,25968,5.4,8.3,9.4,11.2,21.1,14.8,10.7,10.8,4.8,3.7,47138,67959,36.6,CA
Los Angeles County,California,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,39,CA
Madera County,California,44387,6,1.7,7.3,14.1,11.5,16.1,14.1,18.4,5.8,4.9,64827,83590,40.1,CA
Marin County,California,105298,3.4,2.5,4.5,4.7,8.8,10.6,11,16,10,28.6,110843,180587,37.4,CA
Mendocino County,California,34478,3.8,7.8,11.8,9.3,15.1,18.6,10.5,14.3,4.6,4.1,51744,71732,33.5,CA
Merced County,California,80645,3.4,4.5,9.5,8.8,14.9,20,13.6,14,5.9,5.4,61167,79523,45.6,CA
Monterey County,California,128227,3.2,2.2,8.3,7,10.8,16,15.8,18.5,7.5,10.6,77514,102106,37,CA
Napa County,California,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769,130499,33,CA
Nevada County,California,39365,3.5,1.6,9.6,11.1,14.7,13.5,13.6,13.5,6.8,12.2,68818,97744,32,CA
Orange County,California,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,41.9,CA
Placer County,California,147236,2.8,2.5,5.5,5.7,7.4,13.6,13.5,20.8,11.7,16.4,97723,124843,29,CA
Riverside County,California,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,95564,42.3,CA
Sacramento County,California,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,93318,33.1,CA
San Bernardino County,California,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,38.1,CA
San Diego County,California,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,37,CA
San Francisco County,California,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,173858,34.2,CA
San Joaquin County,California,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997,92484,40.6,CA
San Luis Obispo County,California,106512,4.3,3.3,7.2,7.5,11.9,14.4,13.6,19,9.8,9.2,77265,99083,36.3,CA
San Mateo County,California,265003,2.3,1.9,4.1,3.5,6.4,10.2,8.7,16.9,12.7,33.3,138500,193572,31.4,CA
Santa Barbara County,California,146466,5.3,2.9,6.4,5.6,12.7,16.8,12.5,17,7.3,13.6,75653,112619,36,CA
Santa Clara County,California,643637,2.5,2.3,3.6,4.3,5.9,10.8,9.4,16.5,13.2,31.6,133076,180645,31.5,CA
Santa Cruz County,California,97710,3,3.4,7.2,6.4,9.8,12.1,12.2,18.2,10.4,17.3,89269,126138,34.1,CA
Shasta County,California,72714,4.9,5.9,11,7.1,12.4,16.1,14.5,14.6,7.9,5.4,63091,81663,43.9,CA
Solano County,California,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652,105465,37.8,CA
Sonoma County,California,190689,2.9,2.7,4.2,6.5,9.3,16.1,15.6,18.8,10.7,13.3,87828,117426,31.9,CA
Stanislaus County,California,174698,4.7,3.9,7.8,9.4,13.2,18.8,13.8,16.9,6.1,5.2,63037,79840,41.5,CA
Sutter County,California,33039,3.5,5.2,8.2,9.8,12.4,18.6,11.7,14.2,9.5,6.9,62777,89212,37.2,CA
Tehama County,California,25310,9.4,4,13.1,9.3,13.3,14.4,12.1,11.4,9.8,3.3,53475,70306,36.7,CA
Tulare County,California,144109,5.6,4.2,9.4,10.3,14,18.7,13.6,13.7,7.2,3.4,57692,74820,52.3,CA
Ventura County,California,268524,3,2.1,5,5.4,9.3,13.8,15.1,20.4,11.9,14,92236,121196,39.5,CA
